"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"CD_SITUACAO_JULGAMENTO";"DS_SITUACAO_JULGAMENTO";"CD_SITUACAO_CASSACAO";"DS_SITUACAO_CASSACAO";"CD_SITUACAO_DCONST_DIPLOMA";"DS_SITUACAO_DCONST_DIPLOMA";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"NM_TIPO_DESTINACAO_VOTOS";"QT_VOTOS_NOMINAIS_VALIDOS";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"17493";"MAXARANGUAPE";17493;"MAXARANGUAPE";64;13;"Vereador";200002137614;44777;"FABIANA RIBEIRO DE LIMA";"FABIANA";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";200001729559;"PARTIDO ISOLADO";"UNIÃO";"N";57;"Válido";57;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"17493";"MAXARANGUAPE";17493;"MAXARANGUAPE";64;13;"Vereador";200002137618;44344;"LEILA MARIA DOS SANTOS MEIRA";"LEILA MEIRA";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";200001729559;"PARTIDO ISOLADO";"UNIÃO";"N";27;"Válido";27;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"17493";"MAXARANGUAPE";17493;"MAXARANGUAPE";64;13;"Vereador";200002137613;44222;"ANTONIO CARLOS FELIX";"PROFESSOR CARLOS";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";200001729559;"PARTIDO ISOLADO";"UNIÃO";"N";110;"Válido";110;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"17493";"MAXARANGUAPE";17493;"MAXARANGUAPE";64;13;"Vereador";200002137619;44190;"MARCOS ANTONIO DE JESUS MOREIRA";"CORONEL MOREIRA";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";200001729559;"PARTIDO ISOLADO";"UNIÃO";"N";141;"Válido";141;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"17493";"MAXARANGUAPE";17493;"MAXARANGUAPE";64;13;"Vereador";200002137612;44123;"CARLOS ANTONIO DA MACENA";"CARRETA";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";200001729559;"PARTIDO ISOLADO";"UNIÃO";"N";166;"Válido";166;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"17493";"MAXARANGUAPE";17493;"MAXARANGUAPE";64;13;"Vereador";200002137615;44555;"ANILTON FERNANDES DE FARIAS JUNIOR";"JUNIOR FARIAS";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";200001729559;"PARTIDO ISOLADO";"UNIÃO";"N";69;"Válido";69;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"17493";"MAXARANGUAPE";17493;"MAXARANGUAPE";64;13;"Vereador";200002137616;44444;"FRANCISCO BERNARDINO VIEIRA JUNIOR";"BIDINHO";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";200001729559;"PARTIDO ISOLADO";"UNIÃO";"N";184;"Válido";184;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"17493";"MAXARANGUAPE";17493;"MAXARANGUAPE";64;13;"Vereador";200002137617;44333;"CATIANE COSTA DA SILVA";"CATIANE";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";200001729559;"PARTIDO ISOLADO";"UNIÃO";"N";29;"Válido";29;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"18171";"RODOLFO FERNANDES";18171;"RODOLFO FERNANDES";45;13;"Vereador";200002125946;11777;"MARIA ERINALVA GALVÃO DOS SANTOS SOUSA";"ERINALVA GALVÃO";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";200001728069;"PARTIDO ISOLADO";"PP";"N";147;"Válido";147;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"18171";"RODOLFO FERNANDES";18171;"RODOLFO FERNANDES";45;13;"Vereador";200002125949;11333;"BRUNA PAULA FREITAS FERREIRA MIRANDA";"BRUNA DE ENOQUE";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";200001728069;"PARTIDO ISOLADO";"PP";"N";34;"Válido";34;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"18171";"RODOLFO FERNANDES";18171;"RODOLFO FERNANDES";45;13;"Vereador";200002125951;11222;"ANTÔNIO VALCEMAR COSTA LIMA";"VALCEMAR COSTA";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";200001728069;"PARTIDO ISOLADO";"PP";"N";225;"Válido";225;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"18171";"RODOLFO FERNANDES";18171;"RODOLFO FERNANDES";45;13;"Vereador";200002125953;11444;"ELVISMA NUNES CAVALCANTE";"ELVIS CAVALCANTE";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";200001728069;"PARTIDO ISOLADO";"PP";"N";55;"Válido";55;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"16004";"TENENTE LAURENTINO CRUZ";16004;"TENENTE LAURENTINO CRUZ";21;13;"Vereador";200002333589;44111;"LUCIANO JUNIOR DA SILVA PESSOA";"JUNINHO DO POVO";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";200001756968;"PARTIDO ISOLADO";"UNIÃO";"N";28;"Válido";28;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"16004";"TENENTE LAURENTINO CRUZ";16004;"TENENTE LAURENTINO CRUZ";21;13;"Vereador";200002333586;44444;"FRANCISCA DAS VITORIAS DA SILVA";"VITORIA DE CASSIMIRO";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";200001756968;"PARTIDO ISOLADO";"UNIÃO";"N";26;"Válido";26;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"16039";"ASSÚ";16039;"ASSÚ";29;13;"Vereador";200002104389;44123;"MAXSUILA NUNES DE OLIVEIRA";"IRMÃ MAXSUILA";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";200001725251;"PARTIDO ISOLADO";"UNIÃO";"N";167;"Válido";167;5;"SUPLENTE"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"RN";"16039";"ASSÚ";16039;"ASSÚ";29;13;"Vereador";200002104387;44222;"DIOGENES GALDINO DE FIGUEREDO";"DIÓGENES GALDINO";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"PARTIDO ISOLADO";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";200001725251;"PARTIDO ISOLADO";"UNIÃO";"N";75;"Válido";75;5;"SUPLENTE"
