"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"CD_SITUACAO_JULGAMENTO";"DS_SITUACAO_JULGAMENTO";"CD_SITUACAO_CASSACAO";"DS_SITUACAO_CASSACAO";"CD_SITUACAO_DCONST_DIPLOMA";"DS_SITUACAO_DCONST_DIPLOMA";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"NM_TIPO_DESTINACAO_VOTOS";"QT_VOTOS_NOMINAIS_VALIDOS";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"94838";"NAZARÉ";94838;"NAZARÉ";9;11;"Prefeito";270002222684;55;"CLAYTON PAULO RODRIGUES";"CLAYTON";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";55;"PSD";"Partido Social Democrático";-1;"#NULO#";"#NULO#";"#NULO#";270001741816;"O PROGRESSO CONTINUA";"PSD / PL / PP";"N";2360;"Válido";2360;1;"ELEITO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"73164";"TAIPAS DO TOCANTINS";73164;"TAIPAS DO TOCANTINS";25;11;"Prefeito";270002328343;10;"MARIA DO SOCORRO CARVALHO DOS SANTOS";"MARIA DO SOCORRO ";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";270001756261;"UNIDOS POR TAIPAS PARA O TRABALHO CONTINUAR ";"REPUBLICANOS / UNIÃO";"N";971;"Válido";971;1;"ELEITO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"73245";"BRASILÂNDIA DO TOCANTINS";73245;"BRASILÂNDIA DO TOCANTINS";4;11;"Prefeito";270002046598;10;"LUIZ FELIPE DE MIRANDA";"FELIPE MIRANDA";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";270001711998;"AVANÇA BRASILÂNDIA";"REPUBLICANOS / PP";"N";1189;"Válido";1189;1;"ELEITO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"73229";"RECURSOLÂNDIA";73229;"RECURSOLÂNDIA";33;11;"Prefeito";270002018273;10;"CARLOS VINICIUS BARBOSA DA SILVA";"VINICIUS BARBOSA";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";270001708703;"O JEITO CERTO PARA O PROGRESSO CONTINUAR";"Federação PSDB CIDADANIA(PSDB/CIDADANIA) / REPUBLICANOS / UNIÃO";"N";2124;"Válido";2124;1;"ELEITO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"95699";"LIZARDA";95699;"LIZARDA";35;11;"Prefeito";270002304890;10;"MARCELLO LUSTOSA DO AMARAL";"MARCELLO LUSTOSA";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";270001752878;"PARA A FRENTE LIZARDA";"SOLIDARIEDADE / UNIÃO / REPUBLICANOS";"N";1736;"Válido";1736;1;"ELEITO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"73261";"PAU D ARCO";73261;"PAU D ARCO";31;11;"Prefeito";270002287677;10;"GILMAR OLIVEIRA SOUZA";"GILMAR DO POSTO";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";270001750616;"PAU D ARCO NÃO PODE PARAR";"REPUBLICANOS / PP / PDT / UNIÃO";"N";1283;"Válido";1283;1;"ELEITO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"94099";"ITAGUATINS";94099;"ITAGUATINS";11;11;"Prefeito";270001968191;10;"JOSEMBERG VITOR BARROS SILVA";"VITOR DA REIS";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";270001702687;"ITAGUATINS NO RUMO CERTO";"REPUBLICANOS / PDT";"N";1435;"Válido";1435;1;"ELEITO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"92452";"ARAPOEMA";92452;"ARAPOEMA";31;11;"Prefeito";270002235772;10;"PAULO ANTÔNIO PEDREIRA";"PAULO DA BARRA BONITA";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";270001743565;"O PROGRESSO CONTINUA";"REPUBLICANOS / MDB / PDT";"N";2476;"Válido";2476;1;"ELEITO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"95290";"COLMÉIA";95290;"COLMÉIA";16;11;"Prefeito";270002111872;10;"PEDRO CLESIO RIBEIRO";"PEDRO CLESIO";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";270001726314;"UNIDOS PELO POVO";"REPUBLICANOS / MDB";"N";2844;"Válido";2844;1;"ELEITO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"73415";"RIO DOS BOIS";73415;"RIO DOS BOIS";28;11;"Prefeito";270002040083;10;"JOEL ALVES RUFINO";"JOEL RUFINO";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";270001711170;"JUNTOS POR RIO DOS BOIS";"REPUBLICANOS / UNIÃO";"N";1356;"Válido";1356;1;"ELEITO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"73580";"BANDEIRANTES DO TOCANTINS";73580;"BANDEIRANTES DO TOCANTINS";31;11;"Prefeito";270002236591;10;"SAULO GONÇALVES BORGES";"SAULO BORGES";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";270001743671;"UNIDOS POR BANDEIRANTES";"REPUBLICANOS / UNIÃO / MDB";"N";1708;"Válido";1708;1;"ELEITO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"73482";"CHAPADA DA NATIVIDADE";73482;"CHAPADA DA NATIVIDADE";19;11;"Prefeito";270002250339;10;"ELIO DIONIZIO DE SANTANA";"ELIO DIONIZIO";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";270001745715;"JUNTOS POR CHAPADA DA NATIVIDADE";"REPUBLICANOS / PDT";"N";1401;"Válido";1401;1;"ELEITO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"96431";"XAMBIOÁ";96431;"XAMBIOÁ";12;11;"Prefeito";270001982675;10;"MAYCK FEITOSA CÂMARA";"DR MAYCK CÂMARA";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";270001704424;"XAMBIOÁ NO RUMO CERTO ";"REPUBLICANOS / PP / UNIÃO / Federação PSDB CIDADANIA(PSDB/CIDADANIA) / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV)";"N";4546;"Válido";4546;1;"ELEITO"
"16/11/2025";"19:30:41";2024;2;"Eleição Ordinária";1;619;"ELEIÇÕES MUNICIPAIS 2024";"06/10/2024";"M";"TO";"95338";"GOIATINS";95338;"GOIATINS";32;11;"Prefeito";270002199835;10;"MANOEL NATALINO PEREIRA SOARES";"MANOEL NATALINO";"#NULO";-3;"#NE";-3;"#NE";2;"DEFERIDO";-1;"#NULO#";-1;"#NULO#";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";270001738568;"MARCA DA RESPONSABILIDADE";"REPUBLICANOS / PDT / UNIÃO";"N";3644;"Válido";3644;1;"ELEITO"
