"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS"
"19/11/2025";"03:31:06";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASÍLIA";13;8;"Deputado Distrital";"Partido isolado";80;"UP";"Unidade Popular";-1;"#NULO#";"#NULO#";"#NULO#";70001681676;"PARTIDO ISOLADO";"UP";"N";6;0;6;48;0;0;0;0
"19/11/2025";"03:31:06";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASÍLIA";9;8;"Deputado Distrital";"Partido isolado";30;"NOVO";"Partido Novo";-1;"#NULO#";"#NULO#";"#NULO#";70001681085;"PARTIDO ISOLADO";"NOVO";"N";246;0;246;1045;0;0;0;0
"19/11/2025";"03:31:06";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASÍLIA";14;8;"Deputado Distrital";"Partido isolado";70;"AVANTE";"AVANTE";-1;"#NULO#";"#NULO#";"#NULO#";70001681576;"PARTIDO ISOLADO";"AVANTE";"N";31;0;31;1999;0;0;0;0
"19/11/2025";"03:31:06";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASÍLIA";5;6;"Deputado Federal";"Partido isolado";40;"PSB";"Partido Socialista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";70001682657;"PARTIDO ISOLADO";"PSB";"N";94;0;94;8310;0;0;0;0
"19/11/2025";"03:31:06";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASÍLIA";17;8;"Deputado Distrital";"Partido isolado";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";70001681904;"PARTIDO ISOLADO";"REPUBLICANOS";"N";522;0;522;4814;0;0;0;0
"19/11/2025";"03:31:06";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASÍLIA";20;8;"Deputado Distrital";"Partido isolado";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";70001681904;"PARTIDO ISOLADO";"REPUBLICANOS";"N";351;0;351;3006;0;0;0;0
"19/11/2025";"03:31:06";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASÍLIA";13;8;"Deputado Distrital";"Partido isolado";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";70001681904;"PARTIDO ISOLADO";"REPUBLICANOS";"N";715;0;715;5150;0;0;0;0
"19/11/2025";"03:31:06";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASÍLIA";18;8;"Deputado Distrital";"Partido isolado";40;"PSB";"Partido Socialista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";70001682662;"PARTIDO ISOLADO";"PSB";"N";91;0;91;3691;0;0;0;0
"19/11/2025";"03:31:06";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASÍLIA";4;8;"Deputado Distrital";"Partido isolado";22;"PL";"Partido Liberal";-1;"#NULO#";"#NULO#";"#NULO#";70001681804;"PARTIDO ISOLADO";"PL";"N";695;0;695;6773;0;0;0;0
"19/11/2025";"03:31:06";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASÍLIA";16;5;"Senador";"Coligação";22;"PL";"Partido Liberal";-1;"#NULO#";"#NULO#";"#NULO#";70001682269;"Unidos pelo DF";"MDB / PP / PL / PROS / PTB / REPUBLICANOS / AGIR / SOLIDARIEDADE / AVANTE";"N";0;0;0;36264;0;0;0;0
