"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS"
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02232";"CAREIRO";2232;"CAREIRO";23;13;"Vereador";"Partido isolado";30;"NOVO";"Partido Novo";-1;"#NULO#";"#NULO#";"#NULO#";40001718359;"PARTIDO ISOLADO";"NOVO";"N";47;0;47;3037;0;0;0;67
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"98477";"TABATINGA";98477;"TABATINGA";36;13;"Vereador";"Partido isolado";22;"PL";"Partido Liberal";-1;"#NULO#";"#NULO#";"#NULO#";40001757608;"PARTIDO ISOLADO";"PL";"N";61;0;61;2961;0;0;0;50
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02313";"ENVIRA";2313;"ENVIRA";46;11;"Prefeito";"Coligação";55;"PSD";"Partido Social Democrático";-1;"#NULO#";"#NULO#";"#NULO#";40001718574;"UNIDOS PARA MELHOR CUIDAR DE ENVIRA";"PDT / MDB / PL / PSD";"N";0;0;0;4588;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02658";"NOVA OLINDA DO NORTE";2658;"NOVA OLINDA DO NORTE";35;11;"Prefeito";"Coligação";15;"MDB";"Movimento Democrático Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";40001718704;" PELO PROGRESSO DO POVO, O TRABALHO VAI CONTINUAR ";"REPUBLICANOS / PDT / MDB / PRD / MOBILIZA";"N";0;0;0;8579;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02470";"JURUÁ";2470;"JURUÁ";50;11;"Prefeito";"Coligação";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";40001717975;"JUNTOS SOMOS MAIS FORTES";"UNIÃO / PP / PODE / Federação PSDB CIDADANIA(PSDB/CIDADANIA) / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV)";"N";0;0;0;2913;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"98396";"MANAQUIRI";98396;"MANAQUIRI";23;13;"Vereador";"Partido isolado";15;"MDB";"Movimento Democrático Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";40001757299;"PARTIDO ISOLADO";"MDB";"N";83;0;83;2636;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02194";"CANUTAMA";2194;"CANUTAMA";13;13;"Vereador";"Federação";13;"PT";"Partido dos Trabalhadores";101;"Federação BRASIL DA ESPERANÇA - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";40001737006;"FEDERAÇÃO";"Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV)";"N";18;0;18;581;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02810";"TEFÉ";2810;"TEFÉ";9;13;"Vereador";"Partido isolado";15;"MDB";"Movimento Democrático Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";40001718053;"PARTIDO ISOLADO";"MDB";"N";49;0;49;3198;0;0;0;548
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02658";"NOVA OLINDA DO NORTE";2658;"NOVA OLINDA DO NORTE";35;13;"Vereador";"Partido isolado";33;"MOBILIZA";"Mobilização Nacional";-1;"#NULO#";"#NULO#";"#NULO#";40001718672;"PARTIDO ISOLADO";"MOBILIZA";"N";19;0;19;1881;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02755";"SÃO PAULO DE OLIVENÇA";2755;"SÃO PAULO DE OLIVENÇA";22;13;"Vereador";"Federação";43;"PV";"Partido Verde";101;"Federação BRASIL DA ESPERANÇA - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";40001697473;"FEDERAÇÃO";"Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV)";"N";1;0;1;106;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02690";"PARINTINS";2690;"PARINTINS";4;13;"Vereador";"Federação";43;"PV";"Partido Verde";101;"Federação BRASIL DA ESPERANÇA - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";40001755792;"FEDERAÇÃO";"Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV)";"N";2;0;2;17;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02070";"AUTAZES";2070;"AUTAZES";35;13;"Vereador";"Federação";23;"CIDADANIA";"Cidadania";100;"Federação PSDB CIDADANIA";"PSDB/CIDADANIA";"CIDADANIA / PSDB";40001737531;"FEDERAÇÃO";"Federação PSDB CIDADANIA(PSDB/CIDADANIA)";"N";13;0;13;0;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"98418";"PRESIDENTE FIGUEIREDO";98418;"PRESIDENTE FIGUEIREDO";51;13;"Vereador";"Federação";23;"CIDADANIA";"Cidadania";100;"Federação PSDB CIDADANIA";"PSDB/CIDADANIA";"CIDADANIA / PSDB";40001704562;"FEDERAÇÃO";"Federação PSDB CIDADANIA(PSDB/CIDADANIA)";"N";24;0;24;810;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"98396";"MANAQUIRI";98396;"MANAQUIRI";23;11;"Prefeito";"Coligação";13;"PT";"Partido dos Trabalhadores";101;"Federação BRASIL DA ESPERANÇA - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";40001736516;"MANAQUIRI MERECE MAIS";"AGIR / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV)";"N";0;0;0;1027;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02356";"HUMAITÁ";2356;"HUMAITÁ";17;13;"Vereador";"Federação";65;"PC do B";"Partido Comunista do Brasil";101;"Federação BRASIL DA ESPERANÇA - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";40001752479;"FEDERAÇÃO";"Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV)";"N";1;0;1;22;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02356";"HUMAITÁ";2356;"HUMAITÁ";17;13;"Vereador";"Federação";45;"PSDB";"Partido da Social Democracia Brasileira";100;"Federação PSDB CIDADANIA";"PSDB/CIDADANIA";"CIDADANIA / PSDB";40001758177;"FEDERAÇÃO";"Federação PSDB CIDADANIA(PSDB/CIDADANIA)";"N";60;0;60;1158;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02992";"CAAPIRANGA";2992;"CAAPIRANGA";6;13;"Vereador";"Federação";43;"PV";"Partido Verde";101;"Federação BRASIL DA ESPERANÇA - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";40001751155;"FEDERAÇÃO";"Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV)";"N";1;0;1;0;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02291";"EIRUNEPÉ";2291;"EIRUNEPÉ";11;13;"Vereador";"Partido isolado";36;"AGIR";"AGIR";-1;"#NULO#";"#NULO#";"#NULO#";40001752983;"PARTIDO ISOLADO";"AGIR";"N";22;0;22;2119;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02046";"CAREIRO DA VÁRZEA";2046;"CAREIRO DA VÁRZEA";31;13;"Vereador";"Partido isolado";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";40001718868;"PARTIDO ISOLADO";"PP";"N";128;0;128;2035;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02550";"MANAUS";2550;"MANAUS";31;13;"Vereador";"Partido isolado";16;"PSTU";"Partido Socialista dos Trabalhadores Unificado";-1;"#NULO#";"#NULO#";"#NULO#";40001704498;"PARTIDO ISOLADO";"PSTU";"N";3;0;3;16;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"AM";"02534";"MANACAPURU";2534;"MANACAPURU";6;11;"Prefeito";"Coligação";27;"DC";"Democracia Cristã";-1;"#NULO#";"#NULO#";"#NULO#";40001736523;"EXPERIÊNCIA E RENOVAÇÃO";"PP / DC / Federação PSDB CIDADANIA(PSDB/CIDADANIA)";"N";0;0;0;0;0;0;0;12259
