"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS"
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"96938";"ÁGUA FRIA DE GOIÁS";96938;"ÁGUA FRIA DE GOIÁS";131;13;"Vereador";"Partido isolado";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";90001701450;"PARTIDO ISOLADO";"REPUBLICANOS";"N";12;0;12;986;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"95893";"SANTA TEREZINHA DE GOIÁS";95893;"SANTA TEREZINHA DE GOIÁS";85;13;"Vereador";"Partido isolado";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";90001726765;"PARTIDO ISOLADO";"REPUBLICANOS";"N";21;0;21;943;0;61;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"92215";"ANÁPOLIS";92215;"ANÁPOLIS";141;13;"Vereador";"Partido isolado";40;"PSB";"Partido Socialista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";90001710271;"PARTIDO ISOLADO";"PSB";"N";55;0;55;4170;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"93610";"FORMOSA";93610;"FORMOSA";11;13;"Vereador";"Partido isolado";36;"AGIR";"AGIR";-1;"#NULO#";"#NULO#";"#NULO#";90001715696;"PARTIDO ISOLADO";"AGIR";"N";39;0;39;3760;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"94072";"ITAGUARU";94072;"ITAGUARU";57;13;"Vereador";"Partido isolado";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";90001744554;"PARTIDO ISOLADO";"PP";"N";11;0;11;627;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"94218";"ITARUMÃ";94218;"ITARUMÃ";106;13;"Vereador";"Partido isolado";22;"PL";"Partido Liberal";-1;"#NULO#";"#NULO#";"#NULO#";90001705921;"PARTIDO ISOLADO";"PL";"N";12;0;12;715;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"93734";"GOIÂNIA";93734;"GOIÂNIA";146;13;"Vereador";"Partido isolado";30;"NOVO";"Partido Novo";-1;"#NULO#";"#NULO#";"#NULO#";90001726024;"PARTIDO ISOLADO";"NOVO";"N";21;0;21;903;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"96113";"SÍTIO D ABADIA";96113;"SÍTIO D ABADIA";123;13;"Vereador";"Partido isolado";15;"MDB";"Movimento Democrático Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";90001700368;"PARTIDO ISOLADO";"MDB";"N";19;0;19;1061;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"96393";"VARJÃO";96393;"VARJÃO";56;13;"Vereador";"Partido isolado";20;"PODE";"Podemos";-1;"#NULO#";"#NULO#";"#NULO#";90001708380;"PARTIDO ISOLADO";"PODE";"N";37;0;37;982;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"92274";"APARECIDA DE GOIÂNIA";92274;"APARECIDA DE GOIÂNIA";119;13;"Vereador";"Partido isolado";27;"DC";"Democracia Cristã";-1;"#NULO#";"#NULO#";"#NULO#";90001698458;"PARTIDO ISOLADO";"DC";"N";45;0;45;4872;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"94439";"LEOPOLDO DE BULHÕES";94439;"LEOPOLDO DE BULHÕES";141;13;"Vereador";"Partido isolado";15;"MDB";"Movimento Democrático Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";90001742060;"PARTIDO ISOLADO";"MDB";"N";61;0;61;739;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"92258";"ANICUNS";92258;"ANICUNS";34;13;"Vereador";"Partido isolado";25;"PRD";"Partido Renovação Democrática";-1;"#NULO#";"#NULO#";"#NULO#";90001755644;"PARTIDO ISOLADO";"PRD";"N";19;0;19;857;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"92274";"APARECIDA DE GOIÂNIA";92274;"APARECIDA DE GOIÂNIA";132;13;"Vereador";"Partido isolado";33;"MOBILIZA";"Mobilização Nacional";-1;"#NULO#";"#NULO#";"#NULO#";90001713848;"PARTIDO ISOLADO";"MOBILIZA";"N";34;0;34;2996;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"93564";"GAMELEIRA DE GOIÁS";93564;"GAMELEIRA DE GOIÁS";31;13;"Vereador";"Partido isolado";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";90001746048;"PARTIDO ISOLADO";"REPUBLICANOS";"N";28;0;28;316;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"94897";"NIQUELÂNDIA";94897;"NIQUELÂNDIA";41;13;"Vereador";"Partido isolado";55;"PSD";"Partido Social Democrático";-1;"#NULO#";"#NULO#";"#NULO#";90001745301;"PARTIDO ISOLADO";"PSD";"N";30;0;30;2226;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"92690";"BOM JESUS DE GOIÁS";92690;"BOM JESUS DE GOIÁS";124;13;"Vereador";"Partido isolado";22;"PL";"Partido Liberal";-1;"#NULO#";"#NULO#";"#NULO#";90001752790;"PARTIDO ISOLADO";"PL";"N";175;0;175;2061;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"93254";"CRISTALINA";93254;"CRISTALINA";36;13;"Vereador";"Partido isolado";40;"PSB";"Partido Socialista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";90001745406;"PARTIDO ISOLADO";"PSB";"N";13;0;13;1195;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"95397";"PIRACANJUBA";95397;"PIRACANJUBA";25;11;"Prefeito";"Coligação";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";90001699587;"Piracanjuba Mais Forte";"PP / PDT / PODE / AVANTE / SOLIDARIEDADE";"N";0;0;0;3242;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"92924";"CHAPADÃO DO CÉU";92924;"CHAPADÃO DO CÉU";96;13;"Vereador";"Partido isolado";36;"AGIR";"AGIR";-1;"#NULO#";"#NULO#";"#NULO#";90001703130;"PARTIDO ISOLADO";"AGIR";"N";2;0;2;777;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"95036";"ORIZONA";95036;"ORIZONA";27;11;"Prefeito";"Coligação";15;"MDB";"Movimento Democrático Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";90001730103;" a força do povo";"MDB / PODE / UNIÃO / PRD / SOLIDARIEDADE / PDT";"N";0;0;0;4784;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"92886";"COCALZINHO DE GOIÁS";92886;"COCALZINHO DE GOIÁS";26;13;"Vereador";"Partido isolado";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";90001742215;"PARTIDO ISOLADO";"UNIÃO";"N";171;0;171;2923;0;0;0;0
"19/11/2025";"19:30:43";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"GO";"94358";"JAUPACI";94358;"JAUPACI";79;13;"Vereador";"Partido isolado";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";90001732994;"PARTIDO ISOLADO";"PP";"N";10;0;10;759;0;0;0;0
